Sort Order,Investment_ID,Investment_Name,Program_Form_Set_ID,Program_Form_Set_Name,Agency_ID,Agency_Name,Program_ID,Program_Name,Impact_Area_ID,Impact_Area,Outcome_Type_ID,Outcome_Type_Name,Standard_Outcome_ID,Strategy_ID,Strategy_Name,Outcome_Indicator_Type_ID,Outcome_Indicator_Type_Name,Standard_Outcome_Indicator_ID,Outcome_Indicator_ID,Outcome_Indicator_Name,Form_Status,Form_Section_ID,Form_Section_Header,Unique Count July 2019,Unique Count August 2019,Unique Count September 2019,Annual Target 2019 (if applicable)
11,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29951,Agency A,73221,Agency A Program 1,2532,Strong Individuals and Families,12978,Write In,11852,631712,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14896,How MUCH did we do?,0,933989,# of clients at 200% of poverty or above 24 months after completion,Submitted,135352,How Much,0,0,0,
12,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29951,Agency A,73221,Agency A Program 1,2532,Strong Individuals and Families,12978,Write In,11852,631712,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14896,How MUCH did we do?,0,933987,# of clients employed 24 months after completion,Submitted,135352,How Much,0,0,0,
13,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29951,Agency A,73221,Agency A Program 1,2532,Strong Individuals and Families,12978,Write In,11852,631712,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14896,How MUCH did we do?,0,933991,# of clients with increased educational attainment 24 months after completion,Submitted,135352,How Much,0,0,0,
14,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29951,Agency A,73221,Agency A Program 1,2532,Strong Individuals and Families,12978,Write In,11852,631712,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14896,How MUCH did we do?,0,933990,% of clients at 200% of poverty or above 24 months after completion,Submitted,135352,How Much,0,0,0,
15,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29951,Agency A,73221,Agency A Program 1,2532,Strong Individuals and Families,12978,Write In,11852,631712,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14896,How MUCH did we do?,0,933988,% of clients employed 24 months after completion,Submitted,135352,How Much,0,0,0,
16,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29951,Agency A,73221,Agency A Program 1,2532,Strong Individuals and Families,12978,Write In,11852,631712,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14896,How MUCH did we do?,0,933992,% of clients with increased educational attainment 24 months after completion,Submitted,135352,How Much,0,0,0,
17,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18474,Agency B,73222,Agency B Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631713,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14844,How WELL did we do it?,21618,933999,# & % of participating clients completing program (How Well) SIFIC 1A,Submitted,135360,How Well,10,0,0,35
18,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18474,Agency B,73222,Agency B Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631713,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14844,How WELL did we do it?,21616,933998,# & % of participating clients meeting program dosage requirements (How Well) SIFIC 1A,Submitted,135360,How Well,10,21,23,40
19,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18474,Agency B,73222,Agency B Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631713,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21628,934004,# & % of participating clients with income above 200% Federal Poverty Level 3 months after program completion (Better Off) SIFIC 1A,Submitted,135358,Better Off,0,0,0,6
20,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18474,Agency B,73222,Agency B Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631713,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21626,934003,# & % of participating clients with income above 200% Federal Poverty Level 6 months after program completion (Better Off) SIFIC 1A,Submitted,135358,Better Off,0,0,0,8
21,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18474,Agency B,73222,Agency B Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631713,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21624,934002,# & % of participating clients with income above 200% Federal Poverty Level at the time of program completion (Better Off) SIFIC 1A,Submitted,135358,Better Off,0,0,0,5
22,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18474,Agency B,73222,Agency B Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631713,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21622,934001,# & % of participating clients with income increase at the time of program completion (Better Off) SIFIC 1A,Submitted,135358,Better Off,8,0,0,10
23,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18474,Agency B,73222,Agency B Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631713,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21620,934000,# & % of participating clients with increased educational attainment at the time of program completion (Better Off) SIFIC 1A,Submitted,135358,Better Off,10,0,0,10
24,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18474,Agency B,73222,Agency B Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631713,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14844,How WELL did we do it?,21615,933997,# & % of recruited people who were enrolled in program (How Well) SIFIC 1A,Submitted,135360,How Well,10,21,23,500
25,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18474,Agency B,73222,Agency B Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631713,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14843,How MUCH did we do?,21614,933996,# of people under 200% Federal Poverty Level enrolled in program (How Much) SIFIC 1A,Submitted,135352,How Much,18,21,23,75
26,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18474,Agency B,73222,Agency B Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631713,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14843,How MUCH did we do?,21613,933995,# of people under 200% Federal Poverty Level recruited for program (How Much) SIFIC 1A,Submitted,135352,How Much,23,27,30,500
699,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11849,631675,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14844,How WELL did we do it?,21582,933732,# & % of recruited children 0-5 screened on social/emotional development (How Well),Submitted,135360,How Well,0,0,0,250
700,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11849,631675,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14844,How WELL did we do it?,21584,933734,# & % of screened children 0-5 referred to appropriate services based on screening results (How Well),Submitted,135360,How Well,0,0,0,20
701,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11849,631675,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14844,How WELL did we do it?,21587,933737,# & % of screened children receiving appropriate services for identified social/emotional needs (How Well),Submitted,135360,How Well,0,0,0,250
702,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11849,631675,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14843,How MUCH did we do?,21580,933730,# of children 0-5 recruited for screenings on social/emotional development (How Much),Submitted,135352,How Much,0,0,0,400
703,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11849,631675,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14843,How MUCH did we do?,21583,933733,# of children 0-5 referred to appropriate services based on screening results (How Much),Submitted,135352,How Much,0,0,0,20
704,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11849,631675,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14843,How MUCH did we do?,21581,933731,# of children 0-5 screened on social/emotional development (How Much),Submitted,135352,How Much,0,0,0,250
705,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11849,631675,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14843,How MUCH did we do?,21585,933735,# of children receiving appropriate services for identified social/emotional needs from other partners. (How Much),Submitted,135352,How Much,0,0,0,15
706,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11849,631675,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14843,How MUCH did we do?,21586,933736,# of children receiving appropriate services for identified social/emotional needs from services provided in PCEP (How Much),Submitted,135352,How Much,0,0,0,220
707,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14844,How WELL did we do it?,21594,933750,# & % of children 0-5 in participating families meeting age appropriate developmental milestones (Better Off),Submitted,135360,How Well,0,0,0,230
708,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14844,How WELL did we do it?,21444,933745,# & % of families completing programming (How Well),Submitted,135360,How Well,0,0,0,175
709,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14844,How WELL did we do it?,21596,933746,# & % of participating families completing programming (How Well) RCIC 4.2,Submitted,135360,How Well,0,0,0,
710,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14844,How WELL did we do it?,21598,933748,# & % of participating families demonstrating an increase in parent/caregiver knowledge specific to age appropriate developmental milestones (How Well) RCIC 4.2,Submitted,135360,How Well,0,0,0,175
711,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14844,How WELL did we do it?,21590,933742,# & % of recruited families with children 0-5 participating in programming (How Well),Submitted,135360,How Well,0,0,0,210
712,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21591,933743,# of children 0-5 in families enrolled as participants (How Much),Submitted,135352,How Much,0,0,0,250
713,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21593,933749,# of children 0-5 meeting age appropriate developmental milestones (Better Off),Submitted,135352,How Much,0,0,0,230
714,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21446,933747,# of families demonstrating an increase in parent/caregiver knowledge specific to age appropriate developmental milestones (How Well),Submitted,135352,How Much,0,0,0,175
715,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21592,933744,# of families with children 0-5 currently participating in programming (How Much),Submitted,135352,How Much,0,0,0,
716,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21589,933741,# of families with children 0-5 enrolled in programming as participants (How Much),Submitted,135352,How Much,0,0,0,210
717,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21588,933740,# of families with children 0-5 recruited for programming (How Much),Submitted,135352,How Much,0,0,0,370
718,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12978,Write In,11849,631678,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14896,How MUCH did we do?,0,933763,AVANCE children will increase physical fine and gross motor skills,Submitted,135352,How Much,0,0,0,
719,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12978,Write In,11849,631678,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14896,How MUCH did we do?,0,933764,"AVANCE children will increase vocabulary, color and picture recognition, etc.",Submitted,135352,How Much,0,0,0,
720,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12978,Write In,11849,631678,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14896,How MUCH did we do?,0,933765,Parents will increase their knowledge and use of social and community supports,Submitted,135352,How Much,0,0,0,
27,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631740,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14844,How WELL did we do it?,21618,934090,# & % of participating clients completing program (How Well) SIFIC 1A,In Progress,135360,How Well,114,0,0,2780
28,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631740,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14844,How WELL did we do it?,21616,934089,# & % of participating clients meeting program dosage requirements (How Well) SIFIC 1A,In Progress,135360,How Well,114,487,536,2780
29,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631740,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21628,934095,# & % of participating clients with income above 200% Federal Poverty Level 3 months after program completion (Better Off) SIFIC 1A,In Progress,135358,Better Off,0,0,0,270
30,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631740,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21626,934094,# & % of participating clients with income above 200% Federal Poverty Level 6 months after program completion (Better Off) SIFIC 1A,In Progress,135358,Better Off,0,0,0,270
31,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631740,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21624,934093,# & % of participating clients with income above 200% Federal Poverty Level at the time of program completion (Better Off) SIFIC 1A,In Progress,135358,Better Off,1,0,0,
32,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631740,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21622,934092,# & % of participating clients with income increase at the time of program completion (Better Off) SIFIC 1A,In Progress,135358,Better Off,7,0,0,
33,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631740,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21620,934091,# & % of participating clients with increased educational attainment at the time of program completion (Better Off) SIFIC 1A,In Progress,135358,Better Off,114,84,92,2780
34,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631740,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14844,How WELL did we do it?,21615,934088,# & % of recruited people who were enrolled in program (How Well) SIFIC 1A,In Progress,135360,How Well,114,487,536,5040
35,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631740,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14843,How MUCH did we do?,21614,934087,# of people under 200% Federal Poverty Level enrolled in program (How Much) SIFIC 1A,In Progress,135352,How Much,403,487,536,3470
36,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631740,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14843,How MUCH did we do?,21613,934086,# of people under 200% Federal Poverty Level recruited for program (How Much) SIFIC 1A,In Progress,135352,How Much,403,487,536,5040
37,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11859,631741,Provide and/or build capacity for organizations that offer education and workforce development to clients between 200-300% of FPL. (Indicator 2A),14843,How MUCH did we do?,21618,934097,# & % of participating clients completing program (How Well) SIFIC 1A,In Progress,135352,How Much,0,1,1,2
38,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11859,631741,Provide and/or build capacity for organizations that offer education and workforce development to clients between 200-300% of FPL. (Indicator 2A),14844,How WELL did we do it?,21616,934096,# & % of participating clients meeting program dosage requirements (How Well) SIFIC 1A,In Progress,135360,How Well,0,3,3,2
39,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11859,631741,Provide and/or build capacity for organizations that offer education and workforce development to clients between 200-300% of FPL. (Indicator 2A),14844,How WELL did we do it?,21746,934105,# & % of participating clients with income above 300% Federal Poverty Level 3 months after program completion (Better Off) SIFIC 2A,In Progress,135360,How Well,0,0,0,
40,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11859,631741,Provide and/or build capacity for organizations that offer education and workforce development to clients between 200-300% of FPL. (Indicator 2A),14844,How WELL did we do it?,21744,934104,# & % of participating clients with income above 300% Federal Poverty Level 6 months after program completion (Better Off) SIFIC 2A,In Progress,135360,How Well,0,0,0,
41,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11859,631741,Provide and/or build capacity for organizations that offer education and workforce development to clients between 200-300% of FPL. (Indicator 2A),14844,How WELL did we do it?,21742,934103,# & % of participating clients with income above 300% Federal Poverty Level at the time of program completion (Better Off) SIFIC 2A,In Progress,135360,How Well,0,0,0,
42,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11859,631741,Provide and/or build capacity for organizations that offer education and workforce development to clients between 200-300% of FPL. (Indicator 2A),14844,How WELL did we do it?,21622,934099,# & % of participating clients with income increase at the time of program completion (Better Off) SIFIC 1A,In Progress,135360,How Well,0,0,0,1
